Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
M6307,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/25/2015,557632,1084957,1100250,90140,452478,24450,,,,,5,9,0.5,,,,,,,,,,0.589,47
M6421,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/25/2015,962886,1658975,1804410,99460,742064,24450,,,,,8.2,9,0.15,,,,,,,,,,0.589,47
M6450,CULVERT,Major Culvert,Culvert Major,9/27/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/27/2015,504308,855730,880200,13910,361982,24450,,,,,3,12,1,,,,,,,,,,0.589,47
4708,BRIDGE,Bridge,Bridge,9/27/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/27/2015,1017092,1884597,1926400,3900,905408,30100,8,8,5,,,,,,,,,,,,,1,0.53,47
M6239,Goromane Bridge,Bridge,Bridge,3/17/2014,D4444,,EH: Ehlanzeni District Municipality,6/30/2022,9/25/2015,60948103,66987760,66987760,10760,6028897,45140,140,10.6,8,,,,,,,,,,,,,1,0.91,9
5466,QUEENS RIVER BRIDGE,Bridge,Bridge,9/27/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/27/2015,15697753,29618400,29618400,0,13920647,30100,82,12,4,,,,,,,,,,,,,1,0.53,47
M6438,CULVERT,Major Culvert,Culvert Major,9/25/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,9/25/2015,1149363,1972320,1972320,11840,811117,29350,,,,,5.6,12,3,,,,,,,,,,0.589,47
B1507,Bridge on D1837 over River,Bridge,Bridge,2/24/2005,0,0,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,1842724,3933368,5038259,374110,2821425,30100,19.6,8.54,4.88,,,,,,,,,,,,,1,0.44,65
3353,Bridge over Rail,Bridge,Bridge,2/24/2005,0,1.4,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,8592952,15625512,15625510,1080,7031480,30100,41.2,12.6,6.68,,,,,,,,,,,,,1,0.55,45
M6105,Ngweti River Bridge,Bridge,Bridge,2/24/2005,0,1.7,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,4399268,8173265,8647128,183710,4064150,30100,34.2,8.4,1,,,,,,,,,,,,,1,0.53,47
4712,Bridge over Rail,Bridge,Bridge,2/24/2005,D2144,10.4,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,6026195,9674250,9890860,7230,3857435,30100,31,10.6,7.4,,,,,,,,,,,,,1,0.61,39
1462,Bridge over River,Bridge,Bridge,2/24/2005,0,0,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,6104454,9365474,9662100,79290,3478356,30100,30,10.7,4.5,,,,,,,,,,,,,1,0.64,36
M6113,Bridge over Rail,Bridge,Bridge,2/26/2005,0,6.3,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,5291682,9876735,10008850,13010,4704160,30100,32.6,10.2,1,,,,,,,,,,,,,1,0.53,47
M6115,Bridge over Rail,Bridge,Bridge,2/26/2005,0,2.6,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,5540616,10177148,10499480,24110,4934756,30100,32.6,10.7,1,,,,,,,,,,,,,1,0.53,47
M6116,Bridge over Rail,Bridge,Bridge,2/26/2005,0,4.2,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,5063453,9534560,9662100,57460,4541187,30100,30,10.7,1,,,,,,,,,,,,,1,0.53,47
M6155,D2952 River,Major Culvert,Culvert Major,3/31/2009,D2952,,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,629883,1042125,1095360,15010,450467,24450,,,,,5.6,8,0.3,,,,,,,,,,0.589,47
M6114,Bridge over rail,Bridge,Bridge,2/26/2005,0,3.7,EH: Ehlanzeni District Municipality,6/30/2022,9/26/2015,5048064,9404294,9571800,24990,4498746,30100,30,10.6,1,,,,,,,,,,,,,1,0.53,47
B0081,CROCODILE RIVER,Bridge,Bridge,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,59946434,67666054,68266800,128350,8192016,30100,108,21,0,,,,,,,,,,,,,1,0.88,12
M6274,CILVERT MAJOR,Major Culvert,Culvert Major,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,831321,1364904,1540350,75560,633469,24450,,,,,10.5,6,0.3,,,,,,,,,,0.589,47
M6275,CULVERT,Major Culvert,Culvert Major,11/28/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/28/2015,636243,1072744,1191938,65510,490184,24450,,,,,6.5,7.5,0,,,,,,,,,,0.589,47
M6301,WHITE RIVER DAM,Major Culvert,Culvert Major,11/28/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/28/2015,624697,1059526,1173600,66260,482643,24450,,,,,8,6,0,,,,,,,,,,0.589,47
M6436,Culvert on D1560,Major Culvert,Culvert Major,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,2078655,3262769,3740850,123770,1538425,24450,,,,,25.5,6,0,,,,,,,,,,0.589,47
M6437,BRIDGE,Bridge,Bridge,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,3251273,6054690,6396250,138740,3006237,30100,25,8.5,0,,,,,,,,,,,,,1,0.53,47
M6248,BRIDGE,Bridge,Bridge,11/14/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/14/2015,1663277,3087496,3332070,102720,1566073,30100,13.5,8.2,0,,,,,,,,,,,,,1,0.53,47
M6025,BRIDGE,Bridge,Bridge,11/14/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/14/2015,8220775,14901758,15802500,154550,7427175,30100,42,12.5,0,,,,,,,,,,,,,1,0.53,47
M6276,MAJOR CULVERT,Major Culvert,Culvert Major,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,520860,852918,944748,35360,388528,24450,,,,,4.6,8.4,0.15,,,,,,,,,,0.589,47
M6273,CULVERT,Major Culvert,Culvert Major,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,668325,1149761,1277513,83810,525377,24450,,,,,9.5,5.5,0,,,,,,,,,,0.589,47
M6246,BRIDGE,Bridge,Bridge,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,1960088,3985928,4266675,301250,2005337,30100,31.5,4.5,0,,,,,,,,,,,,,1,0.53,47
B0080,B0080 on P166/1,Bridge,Bridge,11/13/2015,,,EH: Ehlanzeni District Municipality,6/30/2022,11/13/2015,9177942,10287807,10429650,150,1251558,30100,21,16.5,0,,,,,,,,,,,,,1,0.88,12
M6582,River Bridge,Bridge,Bridge,8/24/2005,D2258,7.5,EH: Ehlanzeni District Municipality,6/30/2022,11/14/2015,3400965,6031438,6471500,28930,3041605,30100,25,8.6,1,,,,,,,,,,,,,1,0.53,47
665,DORPSPRUIT RIVER BRIDGE,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,4641897,8502014,8871975,60250,4169828,30100,22.5,13.1,3,,,,,,,,,,,,,1,0.53,47
4068,Culvert on D2274,Major Culvert,Culvert Major,11/14/2015,,,NK: Nkangala District Municipality,6/30/2022,11/14/2015,2602969,4153092,4449900,16910,1830021,24450,,,,,13,14,0.5,,,,,,,,,,0.589,47
