Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,20.42,NK: Nkangala District Municipality,6/30/2022,2/9/2018,9448720,21344080,23726190,136660,14140810,30100,54.93,14.35,5.49,,,,,,,,,,,,,1,0.404,74
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/9/2017,17279647,31166137,32672330,36690,15355995,45140,154,4.7,12,,,,,,,,,,,,,1,0.53,47
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,,NK: Nkangala District Municipality,6/30/2022,9/20/2019,876303,1870675,2105194,239450,989441,30100,5.38,13,0,,,,,,,,,,,,,1,0.53,47
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,3.3,NK: Nkangala District Municipality,6/30/2022,2/9/2018,520710,1823265,2546460,508060,1517690,30100,9,9.4,4.88,,,,,,,,,,,,,1,0.404,74
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,3906458,6600759,6674850,23360,2745032,24450,,,,,13,21,2,,,,,,,,,,0.589,47
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,2202019,4327503,4401000,81000,2117981,24450,,,,,15,12,1,,,,,,,,,,0.519,55
1089,Riet river bridge,Bridge,Bridge,5/4/2014,P52/3,3.49,NK: Nkangala District Municipality,6/30/2022,5/4/2014,4534265,9134917,9216018,36880,4644873,30100,24.3,12.6,4.27,,,,,,,,,,,,,1,0.496,51
109,Revolver Creek,Bridge,Bridge,8/10/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/10/2019,1895473,3260816,3809365,123490,1790401,45140,8.7,9.7,9,,,,,,,,,,,,,1,0.53,47
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,,NK: Nkangala District Municipality,6/30/2022,10/14/2017,4808520,11239259,11621610,26070,6787020,30100,39,9.9,7,,,,,,,,,,,,,1,0.416,71
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/22/2019,6248598,10854975,12521600,387850,5885152,30100,32,13,0,,,,,,,,,,,,,1,0.53,47
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,832641,1394941,1540350,74240,633469,24450,,,,,9,7,1,,,,,,,,,,0.589,47
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,,GS: Gert Sibande District Municipality,6/30/2022,10/12/2017,2509229,4867965,5297600,76000,2712371,30100,16,11,3.4,,,,,,,,,,,,,1,0.488,53
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,,NK: Nkangala District Municipality,6/30/2022,11/6/2017,1909361,3315537,3520800,163510,1447929,24450,,,,,12,12,2.5,,,,,,,,,,0.589,47
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,777384,1473691,1643460,93650,772426,30100,13,4.2,5,,,,,,,,,,,,,1,0.53,47
1172,1172,Bridge,Bridge,9/20/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,6487556,11981087,12587820,58110,6042154,30100,20.5,20.4,2.5,,,,,,,,,,,,,1,0.52,48
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,12.99,NK: Nkangala District Municipality,6/30/2022,2/9/2018,3368458,6064096,7284200,244505,3671237,30100,20,12.1,3.96,,,,,,,,,,,,,1,0.496,51
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,0,GS: Gert Sibande District Municipality,6/30/2022,7/20/2018,6170448,11657903,12717250,35570,6511232,30100,32.5,13,2.74,,,,,,,,,,,,,1,0.488,53
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/20/2017,2348117,6603350,7344400,1235950,3760333,30100,20,12.2,2.2,,,,,,,,,,,,,1,0.488,53
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,552302,1426217,1467000,16160,898538,24450,,,,,10,6,0,,,,,,,,,,0.388,70
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,3,EH: Ehlanzeni District Municipality,6/30/2022,10/16/2017,385146,853967,903000,93444,424410,30100,7.5,4,2,,,,,,,,,,,,,1,0.53,47
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,998567,1854615,1980580,51140,930873,30100,14,4.7,4,,,,,,,,,,,,,1,0.53,47
1212,1212,Bridge,Bridge,10/3/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/3/2019,2885888,4985752,5899600,240900,2772812,30100,20,9.8,7,,,,,,,,,,,,,1,0.53,47
1216,1216,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,4772560,8852109,9030000,13340,4244100,30100,25,12,5,,,,,,,,,,,,,1,0.53,47
1217,Bridge over River,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/3/2019,1134475,2023172,2257500,62000,1061025,30100,15,5,0,,,,,,,,,,,,,1,0.53,47
1228,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,1784664,3292308,3404310,19620,1600026,30100,13,8.7,4.6,,,,,,,,,,,,,1,0.53,47
1237,D1747 GOVAN MBEKI MUNICIPALITY,Bridge,Bridge,10/12/2017,,,GS: Gert Sibande District Municipality,6/30/2022,10/12/2017,1141970,2825186,3010000,110190,1757840,30100,20,5,5.2,,,,,,,,,,,,,1,0.416,71
1244,GROOTSPRUIT RIVER BRIDGE,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,9/16/2017,4570353,8663621,8701910,41660,4089897,30100,24.5,11.8,4,,,,,,,,,,,,,1,0.53,47
1245,1245,Major Culvert,Culvert Major,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,416078,664258,733500,15770,301652,24450,,,,,6,5,0,,,,,,,,,,0.589,47
1261,MOHAMBA BRIDGE D646,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,1207415,2141791,2359840,43300,1109125,30100,16,4.9,4.5,,,,,,,,,,,,,1,0.53,47
1263,D1375  LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/10/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/10/2017,2891326,5417940,5478200,12120,2574754,30100,20,9.1,5,,,,,,,,,,,,,1,0.53,47
1264,D80 DIPASELENG LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/9/2017,3205680,5765822,6366150,168380,2992090,30100,45,4.7,7,,,,,,,,,,,,,1,0.53,47
1271,Suikerbosrant River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/18/2019,6586357,11690176,14631010,495050,7549601,30100,39.2,12.4,0,,,,,,,,,,,,,1,0.484,54
1282,Steenkool River Bridge,Bridge,Bridge,10/24/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,4320034,8628400,10173800,1072080,4781686,30100,26,13,0,,,,,,,,,,,,,1,0.53,47
1318,Sandrivier Bridge,Bridge,Bridge,11/10/2016,,,EH: Ehlanzeni District Municipality,6/30/2022,11/10/2016,3517804,8685223,11787760,2093170,6176788,30100,32.1,12.2,6.5,,,,,,,,,,,,,1,0.476,56
1323,D2451 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,1164461,2106757,2221380,12870,1044049,30100,9,8.2,4.5,,,,,,,,,,,,,1,0.53,47
1341,River Bridge,Bridge,Bridge,11/12/2012,D286,22.4,EH: Ehlanzeni District Municipality,6/30/2022,10/16/2017,6369974,10132799,12979120,508960,6100186,30100,49,8.8,1,,,,,,,,,,,,,1,0.53,47
1352,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/18/2019,1290232,2025971,2460495,13830,1156432,30100,6.24,13.1,0,,,,,,,,,,,,,1,0.53,47
1378,1378,Bridge,Bridge,8/10/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/10/2019,1209827,2242712,2441712,84280,1147605,30100,7.8,10.4,5,,,,,,,,,,,,,1,0.53,47
1390,1390,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,2849920,5049576,5418000,21620,2546460,30100,20,9,4,,,,,,,,,,,,,1,0.53,47
1407,Leeuspruit Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/10/2019,5983731,10265129,11347700,30550,5333419,30100,29,13,0,,,,,,,,,,,,,1,0.53,47
1445,Schuilhoerspruit,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,3176120,5508733,5779200,2440,2600640,30100,16,12,4,,,,,,,,,,,,,1,0.55,45
1453,WALKERSROOM RIVER BRIDGE P48/3,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,13099075,24340906,25284000,48605,12136320,30100,60,14,3,,,,,,,,,,,,,1,0.52,48
1464,MTITIESPRUIT,Bridge,Bridge,8/24/2013,D323,24,EH: Ehlanzeni District Municipality,6/30/2022,10/17/2017,1834132,3782990,4245304,16820,2394352,30100,16.4,8.6,5.51,,,,,,,,,,,,,1,0.436,66
1469,1469,Bridge,Bridge Cellular,8/13/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/13/2019,3348321,5451337,5886338,117260,2420756,24450,,,,,53.5,4.5,0.6,,,,,,,,,,0.589,47
1470,Bridge over River,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/1/2019,3566875,5851440,6772500,22550,3183075,30100,25,9,0,,,,,,,,,,,,,1,0.53,47
1472,D1697  STEVE TSHWETE LOCAL MUNICIPALITY,Bridge,Bridge,10/13/2017,,,NK: Nkangala District Municipality,6/30/2022,10/13/2017,5238494,10344885,10745700,48390,5458816,30100,30,11.9,2.5,,,,,,,,,,,,,1,0.492,52
1473,D1048 STEVE TSHWETE LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,1564157,2901529,2979900,15190,1400553,30100,15,6.6,6,,,,,,,,,,,,,1,0.53,47
1474,1474,Bridge,Bridge,9/30/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,2667304,5012300,5056800,12800,2376696,30100,20,8.4,4.6,,,,,,,,,,,,,1,0.53,47
1475,KROMDRAAI RIVER BRIDGE D686,Bridge,Bridge,11/6/2017,,,NK: Nkangala District Municipality,6/30/2022,11/6/2017,2867401,5013013,5430040,10520,2552119,30100,22,8.2,2.5,,,,,,,,,,,,,1,0.53,47
1484,D516 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,1824555,3216772,3461500,10040,1626905,30100,12.5,9.2,6.8,,,,,,,,,,,,,1,0.53,47
1490,Bridge over River,Bridge,Bridge,8/17/2013,P81/1,47.2,EH: Ehlanzeni District Municipality,6/30/2022,10/20/2017,4048127,7215700,8591142,178715,4364300,30100,20.1,14.2,5.18,,,,,,,,,,,,,1,0.492,52
1492,P107/2 MSUKALIGWA LOCAL MUNICIPALITY,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,2585229,5297600,5297600,0,2712371,30100,16,11,4.6,,,,,,,,,,,,,1,0.488,53
1496,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,4426335,8177886,8379840,14980,3938525,30100,32,8.7,5.5,,,,,,,,,,,,,1,0.53,47
1500,P51/2 STEVE TSHWETE,Bridge,Bridge,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,2885384,6166363,6405280,189150,3330746,30100,16,13.3,5,,,,,,,,,,,,,1,0.48,55
1503,VAALBANK P90/1,Bridge,Bridge,10/12/2017,,,NK: Nkangala District Municipality,6/30/2022,10/12/2017,5544360,9929833,10361930,51080,4766485,30100,25.5,13.5,3.6,,,,,,,,,,,,,1,0.54,46
1506,River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/3/2019,3196632,5404166,6140400,57780,2885988,30100,17,12,0,,,,,,,,,,,,,1,0.53,47
1508,OSHOEK JCTN,Bridge,Bridge,10/3/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/3/2019,3903390,6553613,7224000,358770,2961840,30100,20,12,4,,,,,,,,,,,,,1,0.59,41
1513,Dorps River Bridge,Bridge,Bridge,8/3/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,8/3/2018,5358395,9031137,10518450,426750,4733300,30100,29,12.05,0,,,,,,,,,,,,,1,0.55,45
1533,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,2965678,5475002,5643750,25510,2652562,30100,15,12.5,7.7,,,,,,,,,,,,,1,0.53,47
1534,1534,Bridge,Bridge,8/13/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/13/2019,9559518,16480946,18285750,131930,8594302,30100,48.6,12.5,6.5,,,,,,,,,,,,,1,0.53,47
1541,BRIDGE ALONG D516,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,906971,1895000,1926400,2290,1017139,30100,8,8,4,,,,,,,,,,,,,1,0.472,57
1544,Klippoortjiespruit river Bridge,Bridge,Bridge,9/2/2013,0,1.53,NK: Nkangala District Municipality,6/30/2022,2/8/2018,2072260,4280882,5117000,179220,2865520,30100,20,8.5,3.2,,,,,,,,,,,,,1,0.44,65
1550,Bronkhorst river Bridge,Bridge,Bridge,8/26/2013,0,0,NK: Nkangala District Municipality,6/30/2022,2/6/2018,4741133,7660348,9793336,449335,4602868,30100,33.2,9.8,1,,,,,,,,,,,,,1,0.53,47
1559,1559,Bridge,Bridge,9/27/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,19411312,30686781,30822400,6800,11404288,30100,32,32,4,,,,,,,,,,,,,1,0.63,37
1560,1560,Bridge,Bridge,9/21/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,6359928,9803113,10113600,11640,3742032,30100,28,12,7,,,,,,,,,,,,,1,0.63,37
157,BOESMANS RIVER BRIDGE,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,884079,1664382,1896300,120960,891261,30100,15,4.2,5.2,,,,,,,,,,,,,1,0.53,47
1588,P120/1 EMALAHLENI LOCAL MUNICIPALITY,Major Culvert,Culvert Major,10/13/2017,,,NK: Nkangala District Municipality,6/30/2022,10/13/2017,2579091,4184383,4578600,116560,1882949,29350,,,,,13,12,4,,,,,,,,,,0.589,47
1589,KAMEEL RIVER BRIDGE,Bridge,Bridge,11/7/2017,,,NK: Nkangala District Municipality,6/30/2022,11/7/2017,4193777,7594100,8090880,94390,3802713,30100,24,11.2,4,,,,,,,,,,,,,1,0.53,47
1626,KAAL RIVER BRIDGE,Bridge,Bridge,9/10/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/10/2017,5085430,9393994,9625980,16340,4524210,30100,39,8.2,4.5,,,,,,,,,,,,,1,0.53,47
1642,P255/1 THEMBISILE LOCAL MUNICIPALITY,Bridge,Bridge,11/6/2017,,,NK: Nkangala District Municipality,6/30/2022,11/6/2017,4538432,8881246,9331000,52420,4740148,30100,25,12.4,2.5,,,,,,,,,,,,,1,0.492,52
165,P120/1 ,Bridge,Bridge,10/13/2017,,,NK: Nkangala District Municipality,6/30/2022,10/13/2017,5179224,9116760,9969120,104410,4685486,30100,46,7.2,6.4,,,,,,,,,,,,,1,0.53,47
1656,Wielspruit,Bridge,Bridge,1/25/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/25/2017,3552686,6335061,8238050,731100,3954264,45140,14.6,12.5,9.6,,,,,,,,,,,,,1,0.52,48
1662,P53/3 LEKWA LOCAL MUNICIPALITY,Major Culvert,Culvert Major,9/10/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/10/2017,3271286,5574600,5574600,10760,2292554,24450,,,,,20,11.4,2,,,,,,,,,,0.589,47
1677,Vaal,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/27/2019,2622763,4648211,5779200,174370,2982067,30100,16,12,0,,,,,,,,,,,,,1,0.484,54
1692,CAFE BRIDGE,Bridge,Bridge,8/12/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/12/2019,8754044,14655652,15614380,146150,6714181,30100,41.5,12.5,4.5,,,,,,,,,,,,,1,0.57,43
1694,NOORDKAP RIVER,Bridge,Bridge,8/11/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/11/2019,10608635,17911925,20407800,207500,9591665,30100,56.5,12,4,,,,,,,,,,,,,1,0.53,47
1695,1695,Bridge,Bridge,9/30/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,2514835,4702997,4767840,12120,2240885,30100,16,9.9,6.5,,,,,,,,,,,,,1,0.53,47
1699,Bronkhorst river bridge,Bridge,Bridge,8/26/2013,0,0.27,NK: Nkangala District Municipality,6/30/2022,2/6/2018,2065157,4098354,4970112,240975,2663980,30100,19.2,8.6,3.05,,,,,,,,,,,,,1,0.464,59
1706,1706,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,1017002,1690801,1926400,3990,905408,30100,8,8,6,,,,,,,,,,,,,1,0.53,47
1712,BLESBOKSPRUIT CULVERT,Major Culvert,Culvert Major,10/12/2017,,,GS: Gert Sibande District Municipality,6/30/2022,10/12/2017,3188386,4877775,5574600,93660,2292554,24450,,,,,19,12,0,,,,,,,,,,0.589,47
1716,River Bridge,Bridge,Bridge,11/15/2012,D2128,0,EH: Ehlanzeni District Municipality,6/30/2022,10/12/2017,5906430,11652788,13147680,299275,6941975,30100,45.5,9.6,4.88,,,,,,,,,,,,,1,0.472,57
1717,LEMOENSPRUIT,Bridge,Bridge,8/12/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/12/2019,4767743,8704544,9406250,217570,4420937,30100,25,12.5,4,,,,,,,,,,,,,1,0.53,47
1722,Railway bridge,Bridge,Bridge,8/26/2013,P131/1,2.61,NK: Nkangala District Municipality,6/30/2022,2/6/2018,5277339,9822705,12970690,896710,6796643,30100,34.2,12.6,5.79,,,,,,,,,,,,,1,0.476,56
1736,1736,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,9705641,18012141,18361000,25690,8629669,30100,61,10,6,,,,,,,,,,,,,1,0.53,47
1754,EUREKA RIVER BRIDGE,Bridge,Bridge,8/10/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/10/2019,9483656,16302141,18308780,220000,8605128,45140,39,10.4,9,,,,,,,,,,,,,1,0.53,47
1763,1763,Bridge,Bridge,10/22/2019,,,NK: Nkangala District Municipality,6/30/2022,10/22/2019,7548540,13117339,14448000,108900,6790560,30100,48,10,2.5,,,,,,,,,,,,,1,0.53,47
1772,NOORDKAAP RIVER BRIDGE,Bridge,Bridge,8/11/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/11/2019,8045397,13304365,15437880,136680,7255803,45140,38,9,8,,,,,,,,,,,,,1,0.53,47
1773,1773,Bridge,Bridge,8/11/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/11/2019,4940664,8606006,9571800,132390,4498746,30100,26.5,12,6.5,,,,,,,,,,,,,1,0.53,47
1803,"Rietspruit Bridge
",Major Culvert,Culvert Major,3/19/2018,,,NK: Nkangala District Municipality,6/30/2022,2/8/2018,2324459,3275811,4254300,180260,1749581,24450,,,,,15,11.6,0,,,,,,,,,,0.589,47
1804,Bakenlaagte river bridge,Bridge,Bridge,9/3/2013,0,0.61,NK: Nkangala District Municipality,6/30/2022,2/8/2018,3712962,7227010,8428000,197630,4517408,30100,20,14,2.44,,,,,,,,,,,,,1,0.464,59
1825,Tributary of Steenkoolspruit Bridge,Bridge,Bridge,9/2/2013,0,0.99,NK: Nkangala District Municipality,6/30/2022,2/9/2018,3918529,7831271,9447788,465245,5064014,30100,26.6,11.8,4.57,,,,,,,,,,,,,1,0.464,59
1840,Bosmanspruit Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/10/2019,4931736,8206970,9391200,45600,4413864,30100,26,12,0,,,,,,,,,,,,,1,0.53,47
1844,1844,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,3125800,5529539,6260800,4600,3130400,30100,16,13,5,,,,,,,,,,,,,1,0.5,50
1863,Vaalriver Tributary,Bridge,Bridge,1/27/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/27/2017,3595456,6154631,7585200,424700,3565044,30100,21,12,5,,,,,,,,,,,,,1,0.53,47
1864,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/9/2019,5299170,9802246,10836000,443910,5092920,30100,30,12,0,,,,,,,,,,,,,1,0.53,47
1865,1865,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,6967646,12458053,13304200,83580,6252974,30100,34,13,2,,,,,,,,,,,,,1,0.53,47
1866,Tributary of Vaal River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/9/2019,2798696,4420907,5478200,104750,2574754,30100,14,13,0,,,,,,,,,,,,,1,0.53,47
1867,Kaalspruit,Bridge,Bridge,1/26/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/26/2017,5196614,9649669,11973780,550800,6226366,30100,39,10.2,5.5,,,,,,,,,,,,,1,0.48,55
1869,MACHADO RAIL BRIDGE,Bridge,Bridge,10/14/2017,,,NK: Nkangala District Municipality,6/30/2022,10/14/2017,2134425,4041679,4108650,43160,1931065,30100,10.5,13,4.88,,,,,,,,,,,,,1,0.53,47
1870,SPEKBOOM RIVER,Bridge,Bridge - Arch,8/17/2013,P8/2,11.4,EH: Ehlanzeni District Municipality,6/30/2022,10/20/2017,34688403,69197689,75288530,546625,40053500,60200,115.8,10.8,,45.4,,,,,,,,,,,,1,0.468,58
1871,KRANSKLOOF,Bridge,Bridge Cellular,3/19/2018,,,EH: Ehlanzeni District Municipality,6/30/2022,10/20/2017,5460163,8063178,9555793,165810,3929820,24450,,,,,32.3,12.1,0,,,,,,,,,,0.589,47
1872,POTLOOD,Bridge,Bridge,8/17/2013,P8/2,6.3,EH: Ehlanzeni District Municipality,6/30/2022,10/20/2017,2627125,5159397,6022408,191362,3203921,30100,16.4,12.2,4,,,,,,,,,,,,,1,0.468,58
1875,Bridge over Rail,Bridge,Bridge,8/17/2013,P8/2,23.8,EH: Ehlanzeni District Municipality,6/30/2022,10/20/2017,1519167,3070134,3766112,198180,2048765,30100,9.2,13.6,5,,,,,,,,,,,,,1,0.456,61
1882,DORPSRIVER BRIDGE,Bridge,Bridge,10/15/2017,,,EH: Ehlanzeni District Municipality,6/30/2022,10/15/2017,2764592,4916716,5352984,72490,2515902,30100,19,9.36,5.3,,,,,,,,,,,,,1,0.53,47
1884,HIGHLANDS ESTATE BRIDGE,Bridge,Bridge,10/14/2017,,,NK: Nkangala District Municipality,6/30/2022,10/14/2017,1131661,2161929,2253888,62900,1059327,30100,8,9.36,4.5,,,,,,,,,,,,,1,0.53,47
1887,Steenkool river bridge,Bridge,Bridge,9/2/2013,0,0,NK: Nkangala District Municipality,6/30/2022,2/9/2018,9347533,16798226,20528200,423890,10756777,30100,55,12.4,4.8,,,,,,,,,,,,,1,0.476,56
1913,Rietspruit Bridge,Bridge,Bridge,12/20/2013,0,11.2,GS: Gert Sibande District Municipality,6/30/2022,2/8/2018,3268134,6746089,7614096,234350,4111612,30100,20.4,12.4,2.44,,,,,,,,,,,,,1,0.46,60
192,MACHDODRP CULVERT D216,Major Culvert,Culvert Major,10/14/2017,,,NK: Nkangala District Municipality,6/30/2022,10/14/2017,1546272,2995018,3209063,90350,1572441,24450,,,,,12.5,10.5,0,,,,,,,,,,0.51,56
1939,Tributary of Suikerboskant River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,9/18/2019,5065612,8996184,11436800,424050,5947134,30100,32.2,11.8,0,,,,,,,,,,,,,1,0.48,55
1940,P36/3,Bridge,Bridge,9/9/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/9/2017,9474677,19488931,20347600,129390,10743533,30100,65,10.4,5,,,,,,,,,,,,,1,0.472,57
1943,1943 P50/1,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,7939757,16013713,16981670,75590,8966321,45140,33,11.4,15.2,,,,,,,,,,,,,1,0.472,57
1944,DRINKWATER RIVER,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,4240301,8733749,9072140,5460,4826379,30100,22,13.7,6.4,,,,,,,,,,,,,1,0.468,58
1945,Blesbok River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/10/2019,6340907,12661231,14237300,265200,7631193,30100,43,11,0,,,,,,,,,,,,,1,0.464,59
1946,BRIDGE 1946 P50/1,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,2013052,4281057,4304300,1360,2289888,30100,11,13,6.7,,,,,,,,,,,,,1,0.468,58
1947,MORGENZONE,Bridge,Bridge,9/11/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/11/2017,4026993,8429621,8542380,5010,4510377,30100,22,12.9,3.5,,,,,,,,,,,,,1,0.472,57
1948,P50/2 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/10/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/10/2017,2414959,5122593,5357800,71060,2871781,30100,20,8.9,4,,,,,,,,,,,,,1,0.464,59
1950,HARTBEESSPRUIT RIVER BRIDGE ,Bridge,Bridge,11/6/2017,,,NK: Nkangala District Municipality,6/30/2022,11/6/2017,6912535,12806752,13093500,27020,6153945,30100,30,14.5,4,,,,,,,,,,,,,1,0.53,47
