Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District Municipality,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
M6523,KAMEEL RIVER  D2908,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,100,100
M6525,M6525,Bridge,Bridge,10/22/2019,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,95.61,93.56
M6526,Moses River,Major Culvert,Culvert Major,11/16/2016,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,88.89,70.99
M6527,D2918 THEMBISILE LOCAL MINICIPALITY,Bridge,Bridge,11/6/2017,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,97.37,76.24
M6528,Gemsbokspruit,Major Culvert,Culvert Major,11/16/2016,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,79.72,61.79
M6529,Gotwane,Major Culvert,Culvert Major,11/16/2016,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,81.39,77.18
M6530,Unknown,Bridge,Bridge,7/19/2018,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,89.33,67.93
M6531,D454,Bridge,Bridge - Arch,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,98.68,96.42
M6533,DEVEL CEMETARY RAIL-BRIDGE,Bridge,Bridge,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,97.81,97.17
M6534,Unknown,Bridge,Bridge Cellular,7/19/2018,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,74.15,57.32
M6536,D703,Bridge,Bridge Cellular,8/9/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,94.03,75.93
M6538,VAAL RIVER BRIDGE,Bridge,Bridge Cellular,7/19/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,86.93,54.08
M6539,D823,Bridge,Bridge Cellular,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,99.43,99.19
M6540,MORGENZONE QUARY BRIDGE,Bridge,Bridge,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,93.86,78.98
M6541,D940 DR JS MOROKA LOCAL MUNICIPALITY,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,100,100
M6542,D1060,Bridge,Bridge Cellular,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,95.83,58.23
M6544,P256/1 DR JS MOROKA LOCAL MUNICIPALITY,Bridge,Bridge,11/7/2017,,,,NK: Nkangala District Municipality,NK: Dr JS Moroka Local Municipality,6/30/2022,94.74,89.43
M6547,BLESBOKSPRUIT,Bridge,Bridge,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,98.1,97.35
M6548,BLESBOKSPRUIT RIVER BRIDGE,Bridge,Bridge,8/7/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,98.46,95.23
M6549,Tributary of Blesbokspruit Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,84.32,60.02
M6551,Tributary of Vaal River Bridge,Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,96.39,97.04
M6558,Blesbokfontein Road over Rail Bridge,Bridge,Bridge,1/18/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,88.72,67.23
M6559,P53-1,Bridge,Bridge,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,89.67,76.75
M6560,VOLKSRUST RAILWAY BRIDGE (P7-3),Bridge,Bridge,7/17/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,100,100
M6561,Tributary of Vaal River Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,91.01,94.73
M6562,Tributary of Vaal River Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,84.24,85.33
M6563,P90,Bridge,Bridge,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,98.25,93.55
M6564,D1412,Bridge,Bridge,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.59,93.72
M6565,HAARTBEESFONTEIN RIVER BRIDGE,Bridge,Bridge,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,99.46,99.59
M6567,R97-1,Bridge,Bridge,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,92.39,80.14
M6579,D1329,Bridge,Bridge,7/19/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,98.76,97.65
M6580,River Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,93.2,87.78
M6581,D1051,Major Culvert,Culvert Major,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95.56,98.29
M6582,River Bridge,Bridge,Bridge,8/24/2005,,D2258,7.5,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,93.2,82.29
M6584,Katbotchspruit Bridge,Bridge,Bridge,10/25/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,89.36,85.06
M6585,D284,Bridge,Bridge Cellular,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,97.44,93.8
M6586,SANDSPRUIT RIVER BRIDGE,Bridge,Bridge,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,86.84,55.68
M6587,Unknown,Major Culvert,Culvert Major,10/9/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,90.28,84.11
M6589,Unkown Stream,Bridge,Bridge,7/1/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,84.87,76.52
M6590,D1051,Major Culvert,Culvert Major,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95,81
M6591,D1106 LEKWA LOCAL MUNICIPALITY,Major Culvert,Culvert Major,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6592,LEKWA LOCAL MUNICIPALITY D1106,Major Culvert,Culvert Major,9/11/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6593,Unknown,Major Culvert,Culvert Major,7/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,92.78,95.57
M6594,Large Culvert_2 on D1134,Major Culvert,Culvert Major,3/23/2016,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,87.78,85.41
M6595,(D1134-6A),Bridge,Bridge Cellular,3/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,83.33,91.89
M6596,(D1134-6B),Bridge,Bridge Cellular,3/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,89.58,95.94
M6597,(D1134-7),Bridge,Bridge Cellular,3/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,91.67,90.88
M6599,(D1134-A),Bridge,Bridge Cellular,3/19/2018,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,92.19,97.56
M6600,Unknown,Major Culvert,Culvert Major,10/10/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,91.67,86.07
M6601,Unknown,Major Culvert,Culvert Major,8/3/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,95.83,91.87
M6602,Blouboskraal Spruit Culvert,Major Culvert,Culvert Major,7/30/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,90.56,82.79
M6603,MINE CULVERT,Major Culvert,Culvert Major,11/14/2015,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,88.61,54.9
M6604,Unknown,Major Culvert,Culvert Major,10/10/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,88.47,66.69
M6605,D2399,Major Culvert,Culvert Major,7/19/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6606,(D2530-3),Bridge,Bridge,10/28/2019,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,90.57,81.96
M6607,D2545,Major Culvert,Culvert Major,8/7/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,94.44,69.27
M6608,M6608,Major Culvert,Culvert Major,10/4/2019,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,98.33,98.78
M6609,Perdekop Culvert,Major Culvert,Culvert Major,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,99.44,98.85
M6610,MAJUBA COLLIERY CULVERT,Major Culvert,Culvert Major,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,100,100
M6611,D337,Bridge,Bridge,7/16/2018,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95.83,81.89
M6612,D741,Major Culvert,Culvert Major,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6613,D498,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,87.5,67.46
M6614,RIET RIVER,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,94.07,80.4
M6615,D896,Major Culvert,Culvert Major,7/19/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.33,87.33
M6616,D619,Major Culvert,Culvert Major,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6617,Unknown,Major Culvert,Culvert Major,10/9/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,94.03,81.11
M6618,Unknown,Major Culvert,Culvert Major,10/9/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,94.44,88.51
M6619,Unknown,Major Culvert,Culvert Major,10/9/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,98.33,97.07
M6620,Unknown,Major Culvert,Culvert Major,10/9/2018,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,89.44,82.39
M6621,D741,Major Culvert,Culvert Major,7/18/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,99.17,98.78
M6622,D771,Major Culvert,Culvert Major,7/19/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.83,90.14
M6623,D788,Major Culvert,Culvert Major,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,98.89,98.94
M6624,D2152,Major Culvert,Culvert Major,8/6/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,98.89,98.38
M6627,D80,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,83.61,57.96
M6628,MARIBOU STREET D83,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,100,100
M6629,MARIBOU D83,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,100,100
M6630,Culvert,Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,87.5,74.45
M6631,D985,Major Culvert,Culvert Major,8/7/2018,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,94.17,80.64
M6632,Unknown,Major Culvert,Culvert Major,10/11/2018,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,90.28,89.8
M6635,Unknown,Major Culvert,Culvert Major,10/11/2018,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,90,89
M6636,P30/3,Major Culvert,Culvert Major,8/7/2018,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,100,100
M6637,D1290,Major Culvert,Culvert Major,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,86.39,37.54
M6638,CATTLE CREEP P52/3,Major Culvert,Culvert Major,8/8/2018,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,76.36
M6639,Klipspruit Culvert,Major Culvert,Culvert Major,11/7/2016,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,81.94,87.25
M6640,Bridge,Bridge,Bridge,10/28/2019,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,85.16,62.7
M6641,M6641,Major Culvert,Culvert Major,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,93.61,77.54
M6642,M6642,Major Culvert,Culvert Major,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,97.92,92.42
M6643,M6643,Major Culvert,Culvert Major,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,94.44,88.51
M6700,M6700,Major Culvert,Culvert Major,8/12/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,86.67,60.74
M6701,Logies Farm Culvert,Major Culvert,Culvert Major,11/10/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,92.5,86.11
M6702,Kaap River Tributary,Lesser Culvert,Culvert Lesser,11/24/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,100,100
M6703,FRIEDENHEIM DAM,Major Culvert,Culvert Major,8/13/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,91.67,68.34
M6704,M6704,Bridge,Bridge Cellular,8/14/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,68.75,52.51
M6705,DENNEKRUIN CULVERT,Major Culvert,Culvert Major,8/14/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,98.61,93.56
M6706,ERSKINE CULVERT,Major Culvert,Culvert Major,8/14/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,91.67,68.34
M6708,Fig Tree Creek 1,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,87.08,75.67
M6709,Fig Tree Creek 2,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,85.93,85.12
M6710,Kaaprivier Tributary,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,79.58,85.77
M6711,Noordkaap River Tributary,Major Culvert,Culvert Major,11/23/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,99.17,99.02
M6712,Waterfall Culvert,Lesser Culvert,Culvert Lesser,11/23/2016,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,100,100
M6713,Komatierivier Tributary,Major Culvert,Culvert Major,10/29/2019,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,98.75,98.54
M6714,Kromdraaispruit Tributary 4,Lesser Culvert,Culvert Lesser,11/15/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6715,Kromdraaispruit tributary 5,Major Culvert,Culvert Major,11/15/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,90.28,83.8
M6716,Evander Dam Tributary,Major Culvert,Culvert Major,11/14/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,80.56,69.69
M6717,Driefontein Culvert,Major Culvert,Culvert Major,11/14/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,89.72,79.69
M6720,Croquet Lawn Culvert 1,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,91.53,94.4
M6721,Wisane Culvert,Lesser Culvert,Culvert Lesser,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,100,100
M6723,BRIDGE,Bridge,Bridge,9/24/2015,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,97.81,87.93
M6724,Mine Road,Bridge,Bridge,1/18/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,95.94,94.47
M6725,Tweefontein Mine Road Bridge,Bridge,Bridge,1/18/2017,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,95.01,96.6
M6729,Sterkspruit Railway Bridge,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95.83,86.12
M6730,Mooifontein Road Over Road,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,96.71,96.58
M6731,Holland Railway Bridge,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,97.48,95.65
M6732,Uitgezoght Railway Bridge 1,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,95.61,85.42
M6733,Uitgezoght Railway Bridge 2,Bridge,Bridge,1/25/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,96.71,85.52
M6734,Major Culvert of D83 (R54),Major Culvert,Culvert Major,12/29/2013,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,100,100
M6735,Armco Pipe Major Culvert on D2543,Major Culvert,Culvert Major,10/29/2019,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,82.36,78.09
M6736,Saaiwaterspruit,Major Culvert,Culvert Major,11/17/2016,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,87.36,47.44
M6738,Edinburgh Railway Bridge 2,Bridge,Bridge,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,92.76,88.59
M6739,Edinburgh Railway Bridge 1,Bridge,Bridge,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,88.05,85.26
M6740,Iswepe Railway Bridge,Bridge,Bridge,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,89.69,88.99
M6741,Ernstdraai Railway Bridge,Bridge,Bridge,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,87.34,80.42
M6742,Sandspruit,Major Culvert,Culvert Major,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Msukaligwa Local Municipality,6/30/2022,93.33,74.67
M6743,Ngwempisi,Bridge,Bridge Cellular,1/24/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,80.26,69.36
M6744,Mlondozi River Bridge,Bridge,Bridge,11/21/2016,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,81.62,69.61
M6745,Dalmeinspruit Bridge,Bridge,Bridge Cellular,11/21/2016,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,86.79,75.48
M6747,Mzinti River Culvert,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,83.85,66.84
M6748,Ntime River Culvert,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,62.92,7.37
M6749,Sommerreg River Bridge,Bridge,Bridge Cellular,11/21/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,90.06,66.23
M6750,Sieraad River Culvert,Major Culvert,Culvert Major,11/22/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,79.86,35.45
M6751,Ngweti River Culvert,Major Culvert,Culvert Major,11/23/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,82.08,63.11
M6752,Tenbosch Culvert,Major Culvert,Culvert Major,11/23/2016,,,,EH: Ehlanzeni District Municipality,EH: Nkomazi Local Municipality,6/30/2022,82.31,67.94
M6753,Sesete River Bridge,Bridge,Bridge Cellular,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,68.32,32.38
M6754,Nwandlamuhari River Tributary,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,73.89,27
M6755,Edinburgh Watercourse,Major Culvert,Culvert Major,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,85.83,34.04
M6756,Furrow River Culvert,Major Culvert,Culvert Major,11/14/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,75,7.29
M6757,Okkerneutboom Culvert,Major Culvert,Culvert Major,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,83.06,28.92
M6758,Nwandlamuhari Tributary,Lesser Culvert,Culvert Lesser,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,100,100
M6759,Cork Culvert 2,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,94.17,89.8
M6760,Cork Culvert 1,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,87.78,85.48
M6761,Ronaldsey Culvert 4,Lesser Culvert,Culvert Lesser,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,100,100
M6762,Ronaldsey Culvert 3,Major Culvert,Culvert Major,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,95,92.55
M6763,Ronaldsey Culvert 2,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,91.62,77.66
M6764,Ronaldsey Culvert 1,Major Culvert,Culvert Major,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,88.33,85.12
M6765,Lisbon River Culvert,Major Culvert,Culvert Major,11/8/2016,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,92.36,91.58
M6766,Ireagh Rail Bridge,Bridge,Bridge,11/9/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,92.65,85.02
M6767,Bejani River Culvert,Major Culvert,Culvert Major,11/10/2016,,,,EH: Ehlanzeni District Municipality,EH: Bushbuckridge Local Municipality,6/30/2022,75.83,45.24
M6768,Wilgerivier Tributary,Lesser Culvert,Culvert Lesser,11/14/2016,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,100,100
M6770,Culvert on P170/1 (R532),Major Culvert,Culvert Major,3/20/2018,,,,EH: Ehlanzeni District Municipality,EH: Thaba Chweu Local Municipality,6/30/2022,95.56,90.81
M6771,Wilgerivier Tributary 3,Lesser Culvert,Culvert Lesser,11/14/2016,,,,NK: Nkangala District Municipality,NK: Victor Khanye Local Municipality,6/30/2022,100,100
M6772,Zaalwater River Bridge,Major Culvert,Culvert Major,10/28/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,96.11,97.42
M6773,Tweefontein River Bridge,Major Culvert,Culvert Major,10/28/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,97.61,96.38
N0325,D2238,Bridge,Bridge,7/20/2018,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,100,100
UB123,UB123,Bridge,Bridge,6/9/2020,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,95.39,75.93
