Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District Municipality,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
M6384,Kromdraaispruit Tributary 2,Major Culvert,Culvert Major,11/15/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,91.53,87.84
M6385,Kromdraaispruit,Lesser Culvert,Culvert Lesser,11/15/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,100,100
M6386,Mpuluzi River Tributary No.1,Major Culvert,Culvert Major,11/21/2016,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,88.75,96.58
M6387,Mambazane River Culvert,Major Culvert,Culvert Major,11/21/2016,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,91.94,94.85
M6388,Wisane Culvert,Lesser Culvert,Culvert Lesser,11/21/2016,,,,GS: Gert Sibande District Municipality,GS: Chief Albert Luthuli Local Municipality,6/30/2022,100,100
M6389,SYFERFONTEIN RIVER,Major Culvert,Culvert Major,6/30/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,100,100
M6390,CULVERT,Major Culvert,Culvert Major,7/1/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,91.67,51.25
M6391,CULVERT,Major Culvert,Culvert Major,7/1/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6392,CULVERT,Major Culvert,Culvert Major,7/1/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,96.96
M6393,UNDERPASS,Major Culvert,Culvert Major,6/28/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,91.67,86.6
M6394,CULVERT ,Major Culvert,Culvert Major,6/30/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,97.97
M6395,CULVERT,Major Culvert,Culvert Major,6/30/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,97.22,97.97
M6396,CULVERT,Major Culvert,Culvert Major,6/30/2016,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,97.22,98.46
M6397,CULVERT,Major Culvert,Culvert Major,7/1/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,98.89,98.94
M6398,KLIPKRAAL BRIDGE,Major Culvert,Culvert Major,6/30/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,81.39,49.34
M6399,MAJOR CULVERT,Major Culvert,Culvert Major,6/27/2016,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,93.06,80.88
